Code	Char	Issue	Correction
U+8E69	蹩	HUMU	FUMU
U+8E79	蹹	HUMU	FUMU
U+8E90	躐	HUMU	FUMU
U+8E97	躗	HUMU	FUMU
U+8E9B	躛	HUMU	FUMU
U+8EAD	躭	HUKERU	FUKERU
U+8EBA	躺	HUSU	FUSU
U+8EDC	軜	TAZUNA	TADZUNA
U+8F00	輀	HITSUGIGURUMA JISHIYA	HITSUGIGURUMA JISHA
U+8F5C	轜	HITSUGIGU	HITSUGIGURUMA JISHA
U+8F61	轡	TAZUNA KUTSUWA	TADZUNA KUTSUWA
U+8FA1	辡	UTSUTAHERU	UTTAERU
U+9004	逄	HUSAGU	FUSAGU
U+902C	逬	HASHIRU HOTOBASHIRU SHIRIZOKERU TSUKAFU	HASHIRU HOTOBASHIRU SHIRIZOKERU TSUKAU
U+906C	遬	SUMIYAKA KAWARU CHIJIMU KOMAKAI TSUTSUSHIMU	SUMIYAKA KAWARU CHIDJIMU KOMAKAI TSUTSUSHIMU
U+9090	邐	TSUZUKU	TSUDZUKU
U+915A	酚	HUENOORU	FENOORU
U+916B	酫	SHIHOZUKE	SHIODZUKE
U+9177	酷	KIBISHII HANAHADASHI MUGOI	KIBISHII HANAHADASHII MUGOI
U+918E	醎	SEISHIYU	SEISHU
U+91B6	酫	SU SUI SHIHOKARAI	SU SUI SHIOKARAI
U+91C6	釆	WAKATSU WAKARERU HIZUME	WAKATSU WAKARERU HIDZUME
U+91D4	釔	ITORYUUMU	ITTORIUMU
U+91D9	釙	ARAGANE BORONYUUMU	ARAGANE PORONIUMU
U+91F7	釷	TORYUUMU	TORIUMU
U+9224	鈤	GERUMANYUUMU	GERUMANIUMU
U+9226	鈦	CHITANYUUMU	CHITANIUMU CHITAN
U+9230	鈰	KEN SERYUUMU	KEN SERIUMU
U+9236	鈶	TARYUUMU	TARIUMU
U+923E	鈾	URANYUUMU	URANIUMU URAN
U+9240	鉀	YOROI KARYUUMU	YOROI KARIUMU
U+9251	鉑	BURACHINA	PURACHINA
U+927E	鉾	HOKO KITSUSAKI	HOKO KISSAKI
U+92A0	銠	MUTENYUUMU	RUTENIUMU
U+92A5	銥	IRIJUUMU	IRIJIUMU
U+92A7	銧	RAJUUMU	RAJIUMU
U+92AB	銫	SESHUUMU	SESHIUMU
U+92C0	鋀	TORYUUMU	TORIUMU
U+92C1	鋁	YASURI ARUMINYUUMU	YASURI ARUMINIUMU
U+92C7	鋇	ATSUGANE BARYUUMU	ATSUGANE BARIUMU
U+92C8	鋈	SHIROGANE METSUKI	SHIROGANE MEKKI
U+92CD	鋍	AKIKOBORERU BERIRYUUMU	AKIKOBORERU BERIRIUMU
U+92E9	鋩	HOKOSAKI KITSUSAKI	HOKOSAKI KISSAKI
U+92F0	鋰	RICHUUMU	RICHIUMU
U+9334	錴	ROJUUMU	ROJIUMU
U+9337	錷	KADORINYUUMU	GADORINIUMU
U+9376	鍶	SERYUUMU	SUTORONCHIUMU
U+938F	鎏	UTSUKUSHIIGANE	UTSUKUSHIIKANE
U+9398	鎘	KANAENOTSUKIMONO KADOMYUUSU	KANAENOTSUKIMONO KADOMIUMU
U+93B4	鎴	SUTORONSHUUMU	SUTORONCHIUMU
U+93B5	鎵	GARYUUMU	GARIUMU
U+93B6	鎶	KOROMUBYUUMU	KORONBIUMU
U+93C5	鏅	KITAHERU	KITAERU
U+940F	鐏	ISHIZUKI	ISHIDZUKI
U+9413	鐓	ISHIZUKI TSUCHI	ISHIDZUKI TSUCHI
U+941F	鐟	CHITANYUUMU	CHITANIUMU CHITAN
U+942F	鐯	KUHA OHOSUKI	KUWA OOSUKI
U+9432	鐲	HURIGANE	FURIGANE
U+9433	鐳	KAME RAJUUMU	KAME RAJIUMU
U+943F	鐿	ICHIRUBYUUMU	ITTERUBIUMU
U+9461	鑡	OHOBAN	OOBAN
U+946D	鑭	RANTANIUMU	RANTAN
U+94D3	铓	HOKOSAKI KITSUSAKI	HOKOSAKI KISSAKI
U+9578	镸	NAGAAI OSA	NAGAI OSA
U+957E	镾	WATARU TORITSUKUROFU	WATARU TORITSUKUROU
U+95B9	閹	SHIMOBE MESHITSUKAI KOBIHETSURA	SHIMOBE MESHITSUKAI KOBIHETSURAU
U+9625	阥	KAGE KAGEERU	KAGE KAGERU
U+9638	阸	FUSAGARU KAGIRU SAMATOGERU SEMARU AYAFUI KURUSHIMI NAYAMI KEHASHII HEDATEFUSAGU SEEMAI	FUSAGARU KAGIRU SAMATOGERU SEMARU AYAUI KURUSHIMI NAYAMI KEWASHII HEDATEFUSAGU SEMAI
U+9652	陒	YABURETAKAKI YABURERU KEHASHII	YABURETAKAKI YABURERU KEWASHII
U+9657	陗	KEHASHIKUTAKAI MATSUSUGUDETAKAI KEHASHII TAKAI KIBISHII SEEMARU KAKURERU SETSUKACHI KEHASHIISAKA	KEWASHIKUTAKAI MASSUGUDETAKAI KEWASHII TAKAI KIBISHII SEMARU KAKURERU SEKKACHI KEWASHIISAKA
U+966E	陮	TAKAI AYAFUI	TAKAI AYAUI
U+967B	陻	HUSAGU	FUSAGU
U+9682	隂	KAGE KAGEERU	KAGE KAGERU
U+96D8	雘	SHINSHIYA	SHINSHA
U+96FB	電	INAZUMA	INADZUMA
U+9757	靗	UKAGAFU	UKAGAU
U+976E	靮	TAZUNA	TADZUNA
U+9776	靶	TAZUNA	TADZUNA
U+9777	靷	HIKIZUNA	HIKIDZUNA
U+9780	鞀	HURITSUZUMI	FURITSUDZUMI
U+9781	鞁	HIKIZUNA TAZUNA HARAOBI	HIKIDZUNA TADZUNA HARAOBI
U+9789	鞉	HURITSUZUMI	FURITSUDZUMI
U+9797	鞗	TAZUNA	TADZUNA
U+97BC	鞼	TAZUNA TSUYOI KUJIKU KUJIKERU NUHITORIOSHITANAMESHIGAHA	TADZUNA TSUYOI KUJIKU KUJIKERU NUITORIWOSHITANAMESHIGAWA
U+97C1	韁	TAZUNA	TADZUNA
U+97C7	韇	YAZUTSU	YADZUTSU
U+97CA	韊	YAZUTSU EBIRA	YADZUTSU EBIRA
U+9AD3	髓	ZUI	
U+9B6B	魫	SAKANONOKO	SAKANANOKO
U+9B78	魸		NAMAZU
U+9BBE	鮾		KUSARU
U+9EE0	黠	SATOI WARUGASHIKO	SATOI WARUGASHIKOI
U+9F13	鼓	TSUZUMI	TSUDZUMI
U+9F14	鼔	TSUZUMI	TSUDZUMI
U+9F16	鼖	OOTSUZUMI	OOTSUDZUMI
U+9F17	鼗	FURITSUZUMI	FURITSUDZUMI
U+9F1B	鼛	OOTSUZUMI	OOTSUDZUMI
U+9F46	齆	HANAZUMARI	HANADZUMARI
U+9F8F	龏	TSUTSUSHIMU NOBORU TOMOSHIBIOHOHI	TSUTSUSHIMU NOBORU TOMOSHIBIOOI
U+275D7	𧗗	HANAJI	HANADJI
